1     	ESSID:"LEDnet5F1AD0"
2     	ESSID:"JMICHELE"
3     	ESSID:"3Bee1"
4     	ESSID:"MySpectrumWiFi90-2G"
5     	ESSID:"DIRECT-OC-VIZIOTV"
6     	ESSID:"3Bee1-5"
